Gender,Age,Academic Yr,Field,University,Funding,Mode,Knowledge,Usage,Active,Hours,Concern,Breaches,Measure,Sec Edu,Protection,Awareness,Settings,Sharing,Cyberbullying,Features,Sensitive,EncountersUprotect,TOS,Delete,SMedu,PMT
0.33,28,0.25,0.42,1.0,0.4,0.2,1.0,0.6,0.875,0.66,0.4,1.0,0.33,1.0,0.2,1,0.5,0.2,1,0.2,0,0.5,0.2,0.25,1.0,1.0
0.33,23,0.25,0.14,0,0.4,0.4,0,0.4,0.375,0.33,0.4,0,0.33,1.0,0.4,1,0.25,0.2,0,0.4,1.0,0.25,0.2,0.75,0,1.0
0.66,23,0.75,0.28,1.0,0.4,0.2,0,0.6,0.375,1.0,0.2,0,0.33,0,0.4,0,0.5,0.6,0,0.4,0,0.5,0.4,0.50,0,0
